Experiment,Species,Resonance,Peak,Position,Width,Height,Fraction
HR::26,vanillin,H2,1,8.227343034917203,2.76193201718121,0.02864355382564111,8.426550861417797e-13
HR::26,vanillin,H3,1,7.460557661606611,1.9719585104322996,0.06608864644348403,1.869412761929548e-12
HR::26,vanillin,H4,1,7.053816220547976,1.8764891453966672,0.04465418733426509,8.9949770796148e-13
HR::26,vanillin,H5,1,3.9031684914128313,0.6676719630346516,0.24622531064312883,1.4740626664890555e-13
K::17,TMU,2.82 s,1,2.8208723276103633,0.5143249024490224,0.38837661024444803,5.268442376832448e-13
K::17,solvent,2.00 s,1,1.999979619189396,0.39519256942527786,1.033822890992583,1.5037871944353066e-12
K::17,vanillin,H1,1,9.819001616121986,1.4423017025280176,0.03990284313628599,1.8105853535189677e-12
K::17,vanillin,H2,1,8.327740715645538,2.6698306186721563,0.031530813346261746,6.19522118467192e-13
K::17,vanillin,H3,1,7.45355687475808,1.87775637750424,0.056873212937740066,2.520094000801558e-12
K::17,vanillin,H4,1,7.048641543428324,1.8203153188912118,0.03470882081943848,1.1103193322783871e-12
K::17,vanillin,H5,1,3.896301927505485,0.6870559730680128,0.26042280018690206,1.5549780725646242e-12
K::18,TMU,2.82 s,1,2.8217824910912226,0.501540361352586,0.39018303892483314,1.048960114821515e-12
K::18,solvent,2.00 s,1,2.001026682913024,0.3916501020656604,1.0330125487129147,5.8816101737883086e-12
K::18,vanillin,H1,1,9.818836728460226,1.3951842504148062,0.0395343947062161,5.278382747533373e-13
K::18,vanillin,H2,1,8.32957198238935,2.6813726705039236,0.0301961870508129,2.4265956463173177e-12
K::18,vanillin,H3,1,7.454230367458782,1.916967184499543,0.0558097332096998,4.502870454602296e-12
K::18,vanillin,H4,1,7.048094776408543,1.7577713199852927,0.03440106214758522,1.5022778135938505e-12
K::18,vanillin,H5,1,3.8970752614173514,0.67110484859416,0.26084641923119883,1.4848700161798326e-12
K::19,TMU,2.82 s,1,2.8214623649371315,0.5018656956773557,0.39547630155189867,6.439027101394828e-13
K::19,solvent,2.00 s,1,2.0007261811868684,0.39120546663088557,1.0495436199489017,3.7825633296176924e-13
K::19,vanillin,H1,1,9.818358996014867,1.4320908288210978,0.039379345324379936,8.734249150178544e-13
K::19,vanillin,H2,1,8.32892956086645,2.7430894196427613,0.030781154696435945,4.155385531999875e-12
K::19,vanillin,H3,1,7.453612511067395,1.8870601171082027,0.05635720534027841,2.054709416179879e-12
K::19,vanillin,H4,1,7.0482738221915895,1.73694229217808,0.03423520825845056,7.033845873228943e-13
K::19,vanillin,H5,1,3.896678466202034,0.6710157830158318,0.26531807378893396,1.1559578810491262e-12
